id,Food Group,Food Name,Protein (g),Fat (g),Carbohydrates (g),Ash (g),Calories,Starch (g),Sucrose (g),Glucose (g),Fructose (g),Lactose (g),Maltose (g),Alcohol (g),Water (g),Caffeine (mg),Theobromine (mg),Sugar (g),Galactose (g),Fiber (g),Calcium (mg),Iron (mg),Magnesium (mg),Phosphorus (mg),Potasssium (mg),Sodium (mg),Zinc (mg),Cupper (mg),Fluoride (mcg),Manganese (mg),Selenium (mcg),Vitamin A (IU),Retinol (mcg),Retinol Equivalents (mcg),Beta Carotene (mcg),Alpha Carotene (mcg),Vitamin E (mg),Vitamin D (mcg),Vitamin D2 (Ergocalciferol)  (mcg),Vitamin D3 (Cholecalciferol) (mcg),Beta Cryptoxanthin (mcg),Lycopene (mcg),Lutein and Zeaxanthin (mcg),Vitamin C (mg),Thiamin (B1) (mg),Riboflavin (B2) (mg),Niacin (B3) (mg),Vitamin B5 (mg),Vitamin B6 (mg),Folate (B9) (mg),Vitamin B12,Choline (mg),Cholesterol (mg),Saturated Fat (g),Net Carbs
11911,Vegetables and Vegetable Products,"Corn, sweet, white, frozen, kernels cut off cob, boiled, drained, without salt",2.75,0.43,19.56,0.53,80,NULL,NULL,NULL,NULL,NULL,NULL,0,76.73,0,0,3.12,NULL,2.4,4,0.35,19,57,147,5,0.4,0.037,NULL,0.127,0.7,3,0,0,1,0,0.07,0,NULL,NULL,1,0,50,3.1,0.083,0.071,1.299,0.18,0.129,31,0,22,0,0.066,17.16
11912,Vegetables and Vegetable Products,"Corn, sweet, white, frozen, kernels cut off cob, boiled, drained, with salt",2.75,0.43,19.56,0.53,80,NULL,NULL,NULL,NULL,NULL,NULL,0,76.73,0,0,3.12,NULL,2.4,4,0.35,19,57,147,245,0.4,0.037,NULL,0.127,0.7,3,0,0,1,0,0.07,0,NULL,NULL,1,0,50,3.1,0.083,0.071,1.299,0.18,0.129,31,0,22,0,0.066,17.16
11913,Vegetables and Vegetable Products,"Corn, sweet, white, frozen, kernels on cob, unprepared",3.28,0.78,23.5,0.65,98,NULL,NULL,NULL,NULL,NULL,NULL,NULL,71.79,NULL,NULL,NULL,NULL,2.8,4,0.68,32,87,294,5,0.7,0.051,NULL,0.158,0.8,4,0,0,2,0,NULL,0,NULL,NULL,1,0,61,7.2,0.103,0.088,1.681,0.293,0.179,40,0,NULL,0,0.12,20.7
11914,Vegetables and Vegetable Products,"Corn, sweet, white, frozen, kernels on cob, cooked, boiled, drained, without salt",3.11,0.74,22.33,0.62,94,NULL,NULL,NULL,NULL,NULL,NULL,NULL,73.2,NULL,NULL,NULL,NULL,2.1,3,0.61,29,75,251,4,0.63,0.046,NULL,0.142,0.7,4,0,0,2,0,NULL,0,NULL,NULL,1,0,58,4.8,0.174,0.069,1.517,0.25,0.224,31,0,NULL,0,0.114,20.23
11915,Vegetables and Vegetable Products,"Corn, sweet, white, frozen, kernels on cob, cooked, boiled, drained, with salt",3.11,0.74,22.33,0.62,94,NULL,NULL,NULL,NULL,NULL,NULL,NULL,73.2,NULL,NULL,NULL,NULL,2.8,3,0.61,29,75,251,240,0.63,0.046,NULL,0.142,0.7,4,0,0,2,0,NULL,0,NULL,NULL,1,0,58,4.8,0.174,0.069,1.517,0.25,0.224,31,0,NULL,0,0.114,19.53
11916,Vegetables and Vegetable Products,"Peppers, sweet, red, canned, solids and liquids",0.8,0.3,3.9,3.75,18,NULL,NULL,NULL,NULL,NULL,NULL,NULL,91.25,NULL,NULL,NULL,NULL,1.2,41,0.8,11,20,146,1369,0.18,0.13,NULL,0.16,0.3,520,0,26,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,46.5,0.025,0.03,0.55,0.038,0.178,16,0,NULL,0,0.045,2.7
11917,Vegetables and Vegetable Products,"Peppers, sweet, red, frozen, chopped, unprepared",1.08,0.21,4.45,0.3,20,NULL,NULL,NULL,NULL,NULL,NULL,0,93.96,0,0,3.26,NULL,1.6,9,0.62,8,17,91,5,0.06,0.053,NULL,0.117,0.2,2428,0,121,1259,15,1.23,0,NULL,NULL,380,0,39,58.7,0.069,0.038,1.37,0.03,0.137,14,0,4.3,0,0.031,2.85
11918,Vegetables and Vegetable Products,"Peppers, sweet, red, frozen, chopped, boiled, drained, without salt",0.95,0.18,3.31,0.86,16,NULL,NULL,NULL,NULL,NULL,NULL,0,94.7,0,0,2.86,NULL,0.8,8,0.52,7,13,72,4,0.05,0.044,NULL,0.097,0.2,1917,0,96,994,12,1.08,0,NULL,NULL,300,0,31,41.2,0.051,0.031,1.082,0.023,0.108,10,0,3.8,0,0.027,2.51
11919,Vegetables and Vegetable Products,"Peppers, sweet, red, frozen, chopped, boiled, drained, with salt",0.95,0.18,3.31,0.86,16,NULL,NULL,NULL,NULL,NULL,NULL,0,94.7,0,0,2.86,NULL,0.8,8,0.52,7,13,72,240,0.05,0.044,NULL,0.097,0.2,1917,0,96,994,12,1.08,0,NULL,NULL,300,0,31,41.2,0.051,0.031,1.082,0.023,0.108,10,0,3.8,0,0.027,2.51
11921,Vegetables and Vegetable Products,"Peppers, sweet, red, sauteed",1.04,12.75,6.57,0.7,133,0,0.06,1.91,2.31,0,0,0,78.95,0,0,4.28,0,1.8,7,0.47,12,23,193,21,0.15,0.017,NULL,0.115,NULL,2760,0,138,1570,96,3.09,0,NULL,NULL,77,484,106,162.8,0.056,0.109,0.954,0.244,0.364,2,0,6.1,0,1.557,4.77
11922,Vegetables and Vegetable Products,"Sesbania flower, cooked, steamed, with salt",1.14,0.05,5.1,0.41,21,NULL,NULL,NULL,NULL,NULL,NULL,NULL,93.3,NULL,NULL,NULL,NULL,NULL,22,0.56,12,21,107,247,NULL,NULL,NULL,NULL,0.7,0,0,0,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,37,0.048,0.043,0.25,NULL,NULL,57,0,NULL,0,NULL,5.1
11923,Vegetables and Vegetable Products,"Soybeans, mature seeds, sprouted, cooked, steamed, with salt",8.47,4.45,6.53,1.1,81,NULL,NULL,NULL,NULL,NULL,NULL,0,79.45,0,0,0.43,NULL,0.8,59,1.31,60,135,355,246,1.04,0.33,NULL,0.71,0.6,40,0,2,12,12,0.21,0,NULL,NULL,12,0,0,8.3,0.205,0.053,1.092,0.743,0.105,80,0,NULL,0,0.617,5.73
11924,Vegetables and Vegetable Products,"Soybeans, mature seeds, sprouted, cooked, stir-fried, with salt",13.1,7.1,9.4,3.2,125,NULL,NULL,NULL,NULL,NULL,NULL,NULL,67.2,NULL,NULL,NULL,NULL,0.8,82,0.4,96,216,567,250,2.1,0.527,NULL,1.133,0.6,17,0,1,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,12,0.42,0.19,1.1,1.186,0.168,127,0,NULL,0,NULL,8.6
11925,Vegetables and Vegetable Products,"Dock, cooked, boiled, drained, with salt",1.83,0.64,2.93,1.01,20,NULL,NULL,NULL,NULL,NULL,NULL,NULL,93.6,NULL,NULL,NULL,NULL,NULL,38,2.08,89,52,321,239,0.17,0.114,NULL,0.303,0.9,3474,0,174,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,26.3,0.034,0.086,0.411,0.036,0.1,8,0,NULL,0,NULL,2.93
11926,Vegetables and Vegetable Products,"Lentils, sprouted, cooked, stir-fried, with salt",8.8,0.45,21.25,0.8,101,NULL,NULL,NULL,NULL,NULL,NULL,NULL,68.7,NULL,NULL,NULL,NULL,NULL,14,3.1,35,153,284,246,1.6,0.337,NULL,0.502,0.6,41,0,2,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,12.6,0.22,0.09,1.2,0.571,0.164,67,0,NULL,0,0.053,21.25
11927,Vegetables and Vegetable Products,"Mountain yam, hawaii, cooked, steamed, with salt",1.73,0.08,19.99,1.06,82,NULL,NULL,NULL,NULL,NULL,NULL,NULL,77.14,NULL,NULL,NULL,NULL,NULL,8,0.43,10,40,495,248,0.32,0.129,NULL,0.283,0.9,0,0,0,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,0,0.086,0.014,0.13,0.48,0.209,12,0,NULL,0,0.018,19.99
11928,Vegetables and Vegetable Products,"Tree fern, cooked, with salt",0.29,0.07,10.78,0.26,40,NULL,NULL,NULL,NULL,NULL,NULL,NULL,88.6,NULL,NULL,NULL,NULL,3.7,8,0.16,5,4,5,241,0.31,0.202,NULL,0.539,0.9,200,0,10,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,30,0,0.3,3.5,0.063,0.179,15,0,NULL,0,NULL,7.08
11929,Vegetables and Vegetable Products,"Potatoes, mashed, prepared from granules, without milk, whole milk and margarine",2.05,4.93,14.4,1.14,108,NULL,NULL,NULL,NULL,NULL,NULL,NULL,77.48,NULL,NULL,NULL,NULL,2.2,35,0.19,19,60,145,263,0.24,0.022,NULL,0.003,0.5,213,40,44,48,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,6,0.079,0.077,0.763,0.127,0.01,7,0,NULL,3,1.284,12.2
11930,Vegetables and Vegetable Products,"Potatoes, mashed, dehydrated, prepared from flakes without milk, whole milk and margarine added",1.9,5.6,15.02,1.18,113,NULL,NULL,NULL,NULL,NULL,NULL,NULL,76.3,NULL,NULL,NULL,NULL,2.3,49,0.22,18,56,233,332,0.18,0.016,NULL,0.114,0.5,220,42,46,48,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,9.7,0.111,0.05,0.67,0.12,0.009,7,0,NULL,4,1.46,12.72
11931,Vegetables and Vegetable Products,"Peppers, sweet, red, freeze-dried",17.9,3,68.7,8.4,314,NULL,NULL,NULL,NULL,NULL,NULL,0,2,0,0,40.77,NULL,21.3,134,10.4,188,327,3170,193,2.41,1.389,NULL,1.897,3.7,77261,0,3863,42891,6931,4,0,NULL,NULL,0,0,5799,1900,1.2,1.2,7.4,0.488,2.223,229,0,NULL,0,0.447,47.4
11932,Vegetables and Vegetable Products,"Beans, snap, yellow, canned, regular pack, drained solids",1.15,0.1,4.5,0.95,20,NULL,NULL,NULL,NULL,NULL,NULL,0,93.3,0,0,0.78,NULL,1.3,26,0.9,13,19,109,251,0.29,0.038,NULL,0.2,0.4,105,0,5,63,0,0.29,0,NULL,NULL,0,0,458,4.8,0.015,0.056,0.201,0.129,0.037,32,0,10.5,0,0.022,3.2
11933,Vegetables and Vegetable Products,"Beans, snap, yellow, canned, no salt added, drained solids",1.15,0.1,4.5,0.95,20,NULL,NULL,NULL,NULL,NULL,NULL,0,93.3,NULL,NULL,0.78,NULL,1.3,26,0.9,13,19,109,2,0.29,0.038,NULL,0.2,0.4,353,0,18,122,156,0.03,0,NULL,NULL,24,0,452,4.8,0.015,0.056,0.201,0.129,0.037,32,0,NULL,0,0.022,3.2
11934,Vegetables and Vegetable Products,"Potatoes, mashed, home-prepared, whole milk and butter added",1.86,4.22,16.81,1.5,113,NULL,0.15,0.29,0.24,0.71,0,0,75.61,0,0,1.43,0,1.5,24,0.26,18,45,284,317,0.27,0.138,NULL,0.114,0.8,138,37,38,9,0,0.12,0.2,NULL,NULL,0,0,7,6,0.086,0.041,1.072,0.468,0.222,8,0.07,13.5,11,2.613,15.31
11935,Vegetables and Vegetable Products,Catsup,1.04,0.1,27.4,2.94,101,NULL,2.3,10.25,8.72,0,0,0,68.51,0,0,21.27,0,0.3,15,0.35,13,26,281,907,0.17,0.085,15.1,0.084,0.7,527,0,26,316,0,1.46,0,NULL,NULL,0,12062,161,4.1,0.011,0.166,1.434,0.047,0.158,9,0,12.5,0,0.014,27.1
11936,Vegetables and Vegetable Products,"Mushrooms, brown, italian, or crimini, exposed to ultraviolet light, raw",2.5,0.1,4.3,0.98,22,NULL,NULL,NULL,NULL,NULL,NULL,0,92.12,0,0,1.72,NULL,0.6,18,0.4,9,120,448,6,1.1,0.5,NULL,0.142,26,0,0,0,0,0,0.01,31.9,31.9,NULL,0,0,0,0,0.095,0.49,3.8,1.5,0.11,28,0.1,22.1,0,0.014,3.7
11937,Vegetables and Vegetable Products,"Pickles, cucumber, dill or kosher dill",0.5,0.3,2.41,2.45,12,NULL,0,0.52,0.55,0,0,0,94.34,0,0,1.07,0,1,57,0.26,7,16,117,809,0.1,0.028,30.1,0.062,0,125,0,6,53,13,0.03,0,NULL,NULL,30,0,28,2.3,0.045,0.057,0.109,0.201,0.035,8,0,3.4,0,0.079,1.41
11938,Vegetables and Vegetable Products,"Mushroom, white, exposed to ultraviolet light, raw",3.09,0.34,3.26,0.85,22,0,0,1.48,0.17,0,0,0,92.45,0,0,1.98,0,1,3,0.5,9,86,318,5,0.52,0.318,NULL,0.047,9.3,0,0,NULL,NULL,NULL,0.01,26.2,26.2,0,NULL,NULL,NULL,2.1,0.081,0.402,3.607,1.497,0.104,17,0,17.3,0,0.05,2.26
11939,Vegetables and Vegetable Products,"Mushrooms, portabella, exposed to ultraviolet light, grilled",3.28,0.58,4.44,1.05,29,0.43,0,2.26,0,0,0,NULL,90.66,NULL,NULL,2.26,0,2.2,3,0.4,13,135,437,11,0.65,0.389,NULL,0.067,21.9,NULL,NULL,NULL,NULL,NULL,0,13.1,13.1,0,NULL,NULL,NULL,0,0.072,0.403,6.255,1.262,0.122,19,NULL,32.8,NULL,0.037,2.24
11940,Vegetables and Vegetable Products,"Pickles, cucumber, sweet (includes bread and butter pickles)",0.58,0.41,21.15,1.65,91,NULL,0,9.17,8.81,0,0.29,0,76.2,0,0,18.27,0,1,61,0.25,7,18,100,457,0.12,0.028,NULL,0.065,0,764,0,38,325,81,0.36,0,NULL,NULL,186,0,170,0.7,0.025,0.03,0.115,0.051,0.024,1,0,3.1,0,0.067,20.15
11941,Vegetables and Vegetable Products,"Pickles, cucumber, sour",0.33,0.2,2.26,3.13,11,NULL,NULL,NULL,NULL,NULL,NULL,0,94.08,0,0,1.06,NULL,1.2,0,0.4,4,14,23,1208,0.02,0.085,NULL,0.011,0,191,0,10,81,20,0.09,0,NULL,NULL,47,0,43,1,0,0.01,0,0.038,0.009,1,0,3.6,0,0.052,1.06
11943,Vegetables and Vegetable Products,"Pimento, canned",1.1,0.3,5.1,0.4,23,NULL,NULL,NULL,NULL,NULL,NULL,0,93.1,0,0,2.71,NULL,1.9,6,1.68,6,17,158,14,0.19,0.049,NULL,0.092,0.2,2655,0,133,1474,238,0.69,0,NULL,NULL,0,0,366,84.9,0.017,0.06,0.615,0.01,0.215,6,0,6.3,0,0.045,3.2
11944,Vegetables and Vegetable Products,"Pickle relish, hot dog",1.5,0.46,23.35,3.04,91,NULL,NULL,NULL,NULL,NULL,NULL,NULL,71.65,NULL,NULL,NULL,NULL,1.5,5,1.25,19,40,78,1091,0.21,0.082,NULL,0.015,0,167,0,8,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,1,0.04,0.04,0.5,0.007,0.015,1,0,NULL,0,0.044,21.85
11945,Vegetables and Vegetable Products,"Pickle relish, sweet",0.37,0.47,35.06,2.03,130,NULL,NULL,NULL,NULL,NULL,NULL,0,62.07,0,0,29.13,NULL,1.1,3,0.87,5,14,25,811,0.14,0.085,NULL,0.015,0,1218,0,61,519,129,0.58,0,NULL,NULL,296,0,271,1,0,0.033,0.233,0.007,0.015,1,0,4.9,0,0.054,33.96
11946,Vegetables and Vegetable Products,"Pickles, cucumber, sour, low sodium",0.33,0.2,2.26,3.13,11,NULL,NULL,NULL,NULL,NULL,NULL,0,94.08,0,0,1.06,NULL,1.2,0,0.4,4,14,23,18,0.02,0.085,NULL,0.011,0,191,0,10,81,20,0.09,0,NULL,NULL,47,0,43,1,0,0.01,0,0.038,0.009,1,0,3.6,0,0.052,1.06
11947,Vegetables and Vegetable Products,"Pickles, cucumber, dill, reduced sodium",0.5,0.3,2.41,2.45,12,NULL,0,0.52,0.55,0,0,0,94.34,0,0,1.07,0,1,57,0.26,7,16,117,18,0.1,0.028,30.1,0.062,0,125,0,6,53,13,0.03,0,NULL,NULL,30,0,28,2.3,0.045,0.057,0.109,0.201,0.035,8,0,3.4,0,0.079,1.41
11948,Vegetables and Vegetable Products,"Pickles, cucumber, sweet, low sodium (includes bread and butter pickles)",0.37,0.26,33.73,0.38,122,NULL,NULL,NULL,NULL,NULL,NULL,0,65.26,0,0,26.68,NULL,1.1,4,0.59,4,12,32,18,0.08,0.105,NULL,0.015,0,1116,0,56,475,118,0.53,0,NULL,NULL,271,0,248,1.2,0.009,0.032,0.174,0.12,0.015,1,0,4.5,0,0.067,32.63
11949,Vegetables and Vegetable Products,"Catsup, low sodium",1.04,0.1,27.4,2.94,101,NULL,2.3,10.25,8.72,0,0,0,68.51,0,0,21.27,0,0.3,15,0.35,13,26,281,20,0.17,0.085,NULL,0.084,0.7,527,0,26,316,0,1.46,0,NULL,NULL,0,12062,161,4.1,0.011,0.166,1.434,0.047,0.158,9,0,12.5,0,0.014,27.1
11950,Vegetables and Vegetable Products,"Mushrooms, enoki, raw",2.66,0.29,7.81,0.91,37,0,0,0.22,0,0,0,0,88.34,0,0,0.22,0,2.7,0,1.15,16,105,359,3,0.65,0.107,NULL,0.075,2.2,NULL,0,NULL,NULL,NULL,0.01,0.1,0.1,0,NULL,NULL,NULL,0,0.225,0.2,7.032,1.35,0.1,48,0,47.7,0,0.02,5.11
11951,Vegetables and Vegetable Products,"Peppers, sweet, yellow, raw",1,0.21,6.32,0.45,27,NULL,NULL,NULL,NULL,NULL,NULL,NULL,92.02,NULL,NULL,NULL,NULL,0.9,11,0.46,12,24,212,2,0.17,0.107,NULL,0.117,0.3,200,0,10,120,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,183.5,0.028,0.025,0.89,0.168,0.168,26,0,NULL,0,0.031,5.42
11952,Vegetables and Vegetable Products,"Radicchio, raw",1.43,0.25,4.48,0.7,23,NULL,NULL,NULL,NULL,NULL,NULL,0,93.14,0,0,0.6,NULL,0.9,19,0.57,13,40,302,22,0.62,0.341,NULL,0.138,0.9,27,0,1,16,0,2.26,0,NULL,NULL,0,0,8832,8,0.016,0.028,0.255,0.269,0.057,60,0,10.9,0,0.06,3.58
11953,Vegetables and Vegetable Products,"Squash, zucchini, baby, raw",2.71,0.4,3.11,1.05,21,NULL,NULL,NULL,NULL,NULL,NULL,NULL,92.73,NULL,NULL,NULL,NULL,1.1,21,0.79,33,93,459,3,0.83,0.097,NULL,0.196,0.3,490,0,25,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,34.1,0.042,0.036,0.705,0.367,0.142,20,0,NULL,0,0.083,2.01
11954,Vegetables and Vegetable Products,"Tomatillos, raw",0.96,1.02,5.84,0.55,32,NULL,NULL,NULL,NULL,NULL,NULL,0,91.63,0,0,3.93,NULL,1.9,7,0.62,20,39,268,1,0.22,0.079,NULL,0.153,0.5,114,0,6,63,10,0.38,0,NULL,NULL,0,0,467,11.7,0.044,0.035,1.85,0.15,0.056,7,0,7.6,0,0.139,3.94
11955,Vegetables and Vegetable Products,"Tomatoes, sun-dried",14.11,2.97,55.76,12.6,258,NULL,NULL,NULL,NULL,NULL,NULL,0,14.56,0,0,37.59,NULL,12.3,110,9.09,194,356,3427,107,1.99,1.423,NULL,1.846,5.5,874,0,44,524,0,0.01,0,NULL,NULL,0,45902,1419,39.2,0.528,0.489,9.05,2.087,0.332,68,0,104.6,0,0.426,43.46
11956,Vegetables and Vegetable Products,"Tomatoes, sun-dried, packed in oil, drained",5.06,14.08,23.33,3.7,213,NULL,NULL,NULL,NULL,NULL,NULL,NULL,53.83,NULL,NULL,NULL,NULL,5.8,47,2.68,81,139,1565,266,0.78,0.473,NULL,0.466,3,1286,0,64,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,101.8,0.193,0.383,3.63,0.479,0.319,23,0,NULL,0,1.893,17.53
11957,Vegetables and Vegetable Products,"Fennel, bulb, raw",1.24,0.2,7.3,1.05,31,NULL,NULL,NULL,NULL,NULL,NULL,0,90.21,0,0,3.93,NULL,3.1,49,0.73,17,50,414,52,0.2,0.066,NULL,0.191,0.7,963,0,48,578,0,0.58,0,NULL,NULL,0,0,607,12,0.01,0.032,0.64,0.232,0.047,27,0,13.2,0,0.09,4.2
11958,Vegetables and Vegetable Products,"Pickle relish, hamburger",0.63,0.54,34.48,3.22,129,NULL,NULL,NULL,NULL,NULL,NULL,NULL,61.12,NULL,NULL,NULL,NULL,3.2,4,1.14,7,17,76,1096,0.11,0.083,NULL,0.015,0,267,0,13,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,2.3,0.02,0.042,0.617,0.007,0.015,1,0,NULL,0,0.052,31.28
11959,Vegetables and Vegetable Products,"Arugula, raw",2.58,0.66,3.65,1.4,25,NULL,NULL,NULL,NULL,NULL,NULL,0,91.71,0,0,2.05,NULL,1.6,160,1.46,47,52,369,27,0.47,0.076,NULL,0.321,0.3,2373,0,119,1424,0,0.43,0,NULL,NULL,0,0,3555,15,0.044,0.086,0.305,0.437,0.073,97,0,15.3,0,0.086,2.05
11960,Vegetables and Vegetable Products,"Carrots, baby, raw",0.64,0.13,8.24,0.63,35,0,2.72,1.04,1,0,0,NULL,90.35,NULL,NULL,4.76,0,2.9,32,0.89,10,28,237,78,0.17,0.1,NULL,0.151,0.9,13790,0,690,6391,3767,NULL,0,NULL,NULL,0,0,358,2.6,0.03,0.036,0.556,0.401,0.105,27,0,7.5,0,0.023,5.34
11961,Vegetables and Vegetable Products,"Hearts of palm, canned",2.52,0.62,4.62,2.04,28,NULL,NULL,NULL,NULL,NULL,NULL,NULL,90.2,NULL,NULL,NULL,NULL,2.4,58,3.13,38,65,177,426,1.15,0.133,NULL,1.394,0.7,0,0,0,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,7.9,0.011,0.057,0.437,0.126,0.022,39,0,NULL,0,0.13,2.22
11962,Vegetables and Vegetable Products,"Peppers, hot chile, sun-dried",10.58,5.81,69.86,6.6,324,NULL,NULL,NULL,NULL,NULL,NULL,0,7.15,0,0,41.06,NULL,28.7,45,6.04,88,159,1870,91,1.02,0.228,NULL,0.821,3.5,26488,0,1324,14844,994,3.14,0,NULL,NULL,1103,0,5494,31.4,0.081,1.205,8.669,0.956,0.81,51,0,84.3,0,0.813,41.16
11963,Vegetables and Vegetable Products,"Nopales, raw",1.32,0.09,3.33,1.14,16,NULL,NULL,NULL,NULL,NULL,NULL,0,94.12,0,0,1.15,NULL,2.2,164,0.59,52,16,257,21,0.25,0.052,NULL,0.457,0.7,457,0,23,250,48,0,0,NULL,NULL,0,0,0,9.3,0.012,0.041,0.41,0.167,0.07,3,0,7.3,0,0.016,1.13
11964,Vegetables and Vegetable Products,"Nopales, cooked, without salt",1.35,0.05,3.28,1.01,15,NULL,NULL,NULL,NULL,NULL,NULL,0,94.31,0,0,1.12,NULL,2,164,0.5,47,16,195,20,0.21,0.049,NULL,0.408,0.7,443,0,22,242,47,0,0,NULL,NULL,0,0,0,5.3,0.011,0.04,0.296,0.15,0.067,3,0,7.1,0,0.006,1.28
11965,Vegetables and Vegetable Products,"Cauliflower, green, raw",2.95,0.3,6.09,0.88,31,NULL,NULL,NULL,NULL,NULL,NULL,0,89.79,0,0,3.03,NULL,3.2,33,0.73,20,62,300,23,0.64,0.041,NULL,0.247,0.6,155,0,8,93,0,0.04,0,NULL,NULL,0,0,42,88.1,0.08,0.102,0.734,0.696,0.222,57,0,57.1,0,0.047,2.89
11967,Vegetables and Vegetable Products,"Cauliflower, green, cooked, no salt added",3.04,0.31,6.28,0.9,32,NULL,NULL,NULL,NULL,NULL,NULL,0,89.47,0,0,3.12,NULL,3.3,32,0.72,19,57,278,23,0.63,0.04,NULL,0.242,0.8,144,0,7,86,0,0.04,0,NULL,NULL,0,0,39,72.6,0.07,0.1,0.681,0.681,0.206,41,0,58.8,0,0.043,2.98
11968,Vegetables and Vegetable Products,"Cauliflower, green, cooked, with salt",3.04,0.31,6.28,0.9,32,NULL,NULL,NULL,NULL,NULL,NULL,NULL,89.47,NULL,NULL,NULL,NULL,3.3,32,0.72,19,57,278,259,0.63,0.04,NULL,0.242,0.8,141,0,7,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,72.6,0.07,0.1,0.681,0.681,0.206,41,0,NULL,0,0.049,2.98
11969,Vegetables and Vegetable Products,"Broccoli, chinese, cooked",1.14,0.72,3.81,0.79,22,NULL,NULL,NULL,NULL,NULL,NULL,0,93.54,0,0,0.84,NULL,2.5,100,0.56,18,41,261,7,0.39,0.061,NULL,0.264,1.3,1638,0,82,983,0,0.48,0,NULL,NULL,0,0,912,28.2,0.095,0.146,0.437,0.159,0.07,99,0,25.3,0,0.11,1.31
11970,Vegetables and Vegetable Products,"Cabbage, napa, cooked",1.1,0.17,2.23,0.17,12,NULL,NULL,NULL,NULL,NULL,NULL,0,96.33,NULL,NULL,NULL,NULL,NULL,29,0.74,8,19,87,11,0.14,0.096,NULL,0.203,0.4,263,0,13,133,49,NULL,0,NULL,NULL,0,0,NULL,3.2,0.005,0.025,0.466,0.035,0.037,43,0,NULL,0,NULL,2.23
11972,Vegetables and Vegetable Products,"Lemon grass (citronella), raw",1.82,0.49,25.31,1.8,99,NULL,NULL,NULL,NULL,NULL,NULL,0,70.58,NULL,NULL,NULL,NULL,NULL,65,8.17,60,101,723,6,2.23,0.266,NULL,5.224,0.7,6,0,0,3,0,NULL,0,NULL,NULL,0,NULL,NULL,2.6,0.065,0.135,1.101,0.05,0.08,75,0,NULL,0,0.119,25.31
11973,Vegetables and Vegetable Products,"Beans, fava, in pod, raw",7.92,0.73,17.63,1.12,88,NULL,NULL,NULL,NULL,NULL,NULL,0,72.6,0,0,9.21,NULL,7.5,37,1.55,33,129,332,25,1,0.402,NULL,0.661,0.8,333,0,17,196,0,1.16,0,NULL,NULL,9,0,1811,3.7,0.133,0.29,2.249,0.225,0.104,148,0,NULL,0,0.118,10.13
11974,Vegetables and Vegetable Products,"Grape leaves, raw",5.6,2.12,17.31,1.65,93,NULL,NULL,NULL,NULL,NULL,NULL,0,73.32,0,0,6.3,NULL,11,363,2.63,95,91,272,9,0.67,0.415,NULL,2.855,0.9,27521,0,1376,16194,629,2,0,NULL,NULL,9,0,1747,11.1,0.04,0.354,2.362,0.231,0.4,83,0,12.8,0,0.336,6.31
11975,Vegetables and Vegetable Products,"Grape leaves, canned",4.27,1.97,11.71,5.95,69,NULL,NULL,NULL,NULL,NULL,NULL,0,76.1,0,0,NULL,NULL,9.9,289,2.98,14,34,29,2853,0.4,1.841,NULL,0.29,0.9,5253,0,263,2838,629,1.79,0,NULL,NULL,0,0,1487,11.3,0.064,0.364,4.505,4.274,0.136,78,0,NULL,0,0.312,1.81
11976,Vegetables and Vegetable Products,"Pepper, banana, raw",1.66,0.45,5.35,0.73,27,NULL,NULL,NULL,NULL,NULL,NULL,0,91.81,0,0,1.95,NULL,3.4,14,0.46,17,32,256,13,0.25,0.094,NULL,0.1,0.3,340,0,17,184,39,0.69,0,NULL,NULL,0,0,0,82.7,0.081,0.054,1.242,0.265,0.357,29,0,7.4,0,0.048,1.95
11977,Vegetables and Vegetable Products,"Peppers, serrano, raw",1.74,0.44,6.7,0.87,32,NULL,NULL,NULL,NULL,NULL,NULL,0,90.25,0,0,3.83,NULL,3.7,11,0.86,22,40,305,10,0.26,0.129,NULL,0.187,0.4,937,0,47,534,18,0.69,0,NULL,NULL,40,0,544,44.9,0.054,0.081,1.537,0.2,0.505,23,0,8.9,0,0.059,3
11978,Vegetables and Vegetable Products,"Peppers, ancho, dried",11.86,8.2,51.42,5.89,281,NULL,NULL,NULL,NULL,NULL,NULL,0,22.63,NULL,NULL,NULL,NULL,21.6,61,10.93,113,201,2411,43,1.42,0.508,NULL,1.279,2.9,20438,0,1022,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,2,0.179,2.255,6.403,1.993,3.535,69,0,NULL,0,0.82,29.82
